code,name_ar,name_en,sector
4030,الشركة الوطنية السعودية للنقل البحري,National Shipping Company of Sa,Industrials
4200,شركة الدريس للخدمات البترولية والنقليات,Aldrees Petroleum and Transport,Consumer Cyclical
2222,شركة الزيت العربية السعودية,Saudi Arabian Oil Co.,Energy
2030,شركة المصافي العربية السعودية,Saudi Arabia Refineries Co.,Industrials
2380,شركة رابغ للتكرير والبتروكيماويات,Rabigh Refining and Petrochemic,Energy
1150,مصرف الإنماء,Alinma Bank,Financial Services
1120,مصرف الراجحي,Al Rajhi Bank,Financial Services
4190,شركة جرير للتسويق,Jarir Marketing Co.,Consumer Cyclical
2280,شركة المراعي,Almarai Co.,Consumer Defensive
7010,شركة الإتصالات السعودية,Saudi Telecom Co.,Communication Services
